,judul,tanggal,link
31,[SALAH] Vaksin dengan Pfizer Dapat Menularkan Virus ke Orang yang Belum Divaksin,"Sumber: 
                     
                        facebook.com
 Tanggal publish: 27/07/2021",https://cekfakta.com/focus/7322
32,[SALAH] Vaksin Mengandung Racun Berbahaya,"Sumber: 
                     
                        twitter.com
 Tanggal publish: 26/07/2021",https://cekfakta.com/focus/7318
33,[SALAH] Foto Beberapa Jenazah Covid-19 di Bekasi,"Sumber: 
                     
                        twitter.com
 Tanggal publish: 25/07/2021",https://cekfakta.com/focus/7314
34,[SALAH] Mata Jenazah Covid-19 diambil tanpa Sepengetahuan Keluarga,"Sumber: 
                     
                        facebook.com
 Tanggal publish: 25/07/2021",https://cekfakta.com/focus/7312
35,[SALAH] Video “pengurusan Covid di Indon”,"Sumber: 
                    whatsapp.com                                             Tanggal publish: 24/07/2021",https://cekfakta.com/focus/7310
36,[SALAH] Foto Suasana Demo Anti-Vaksin di Prancis,"Sumber: 
                     
                        twitter.com
 Tanggal publish: 23/07/2021",https://cekfakta.com/focus/7305
37,"[SALAH] Ketentuan Baru, Mau Buat KTP Harus Punya Sertifikat Vaksin","Sumber: 
                     
                        facebook.com
 Tanggal publish: 23/07/2021",https://cekfakta.com/focus/7297
38,[SALAH] Barcode pada Vaksin Covid-19 Mengontrol Manusia Sampai Mati,"Sumber: 
                    Facebook                                             Tanggal publish: 23/07/2021",https://cekfakta.com/focus/7292
39,[SALAH] Bawang Putih Bisa Keluarkan Cairan di Paru-paru Akibat Covid-19,"Sumber: 
                    WhatsApp                                             Tanggal publish: 21/07/2021",https://cekfakta.com/focus/7285
40,"[SALAH] Singapura Negara Pertama yang Lakukan Otopsi Jenazah Covid-19, Sumber Kemenkes Singapura","Sumber: 
                     
                        facebook.com
 Tanggal publish: 20/07/2021",https://cekfakta.com/focus/7281
41,[SALAH] Imbauan Lepas Masker Mulai Rabu 21 Juli 2021 oleh Bupati Jember,"Sumber: 
                     
                        facebook.com
 Tanggal publish: 20/07/2021",https://cekfakta.com/focus/7278
42,[SALAH] “Semangkin Gawat Indonesia sekarang ini! Banyaknya Rumah Sakit Penerima Vaksin Palsu!”,"Sumber: 
                     
                        facebook.com
 Tanggal publish: 19/07/2021",https://cekfakta.com/focus/7272
43,[SALAH] Nilai CT Pada Tes PCR Menentukan Kesembuhan Pasien Covid-19,"Sumber: 
                    whatsapp.com                                             Tanggal publish: 19/07/2021",https://cekfakta.com/focus/7271
44,[SALAH] Banyaknya Varian Covid-19 Muncul Setelah Vaksinasi Dilakukan,"Sumber: 
                     
                        twitter.com
 Tanggal publish: 19/07/2021",https://cekfakta.com/focus/7269
45,[SALAH] Labu Kuning Kukus Dapat Sembuhkan Covid-19,"Sumber: 
                     
                        whatsapp.com
 Tanggal publish: 19/07/2021",https://cekfakta.com/focus/7268
46,[SALAH] Kurir Tetap Bekerja Meski Terpapar Covid-19,"Sumber: 
                    WhatsApp                                             Tanggal publish: 19/07/2021",https://cekfakta.com/focus/7265
47,[SALAH] Foto Ajakan untuk Stop Upload Berita Covid-19 oleh Pemerintah Kabupaten Gresik,"Sumber: 
                    whatsapp.com                                             Tanggal publish: 18/07/2021",https://cekfakta.com/focus/7264
48,[SALAH] Video “Potensi Bahaya Vaksin COVID-19”,"Sumber: 
                     
                        facebook.com
 Tanggal publish: 17/07/2021",https://cekfakta.com/focus/7260
49,[SALAH] Air Keran Dapat Positif Covid-19 Setelah Ditest Menggunakan Device Rapid Test Antigen,"Sumber: 
                     
                        facebook.com
 Tanggal publish: 17/07/2021",https://cekfakta.com/focus/7256
50,[SALAH] Daun Teh Pinus Putih hentikan bahaya Vaksin Covid-19,"Sumber: 
                     
                        Instagram.com
 Tanggal publish: 17/07/2021",https://cekfakta.com/focus/7255
51,[SALAH] Detektor Radiasi Elektromagnetik dapat Mendeteksi Radiasi dari Vaksin Covid-19,"Sumber: 
                     
                        facebook.com
 Tanggal publish: 14/07/2021",https://cekfakta.com/focus/7230
52,[SALAH] Video Akting Plandemi Jenazah Pasien Covid-19 dapat Bergerak,"Sumber: 
                     
                        facebook.com
 Tanggal publish: 13/07/2021",https://cekfakta.com/focus/7227
53,"[SALAH] Racikan Air Kelapa Muda, Jeruk Nipis, Garam, dan Madu dapat Membunuh Virus Covid-19","Sumber: 
                    whatsapp.com                                             Tanggal publish: 12/07/2021",https://cekfakta.com/focus/7225
54,[SALAH] FDA Amerika Sebut Invermectin Dapat Digunakan Untuk Sembuhkan Covid-19,"Sumber: 
                     
                        whatsapp.com
 Tanggal publish: 12/07/2021",https://cekfakta.com/focus/7223
55,[SALAH] Air Rebusan Bawang Putih Dapat Menyembuhkan Covid,"Sumber: 
                    whatsapp.com                                             Tanggal publish: 10/07/2021",https://cekfakta.com/focus/7213
56,[SALAH] “Varian baru Covid-19 tidak lain dari infeksi protein spike dari vaksin”,"Sumber: 
                     
                        twitter.com
 Tanggal publish: 09/07/2021",https://cekfakta.com/focus/7211
57,"[SALAH] Campuran Air Panas dan Lemon, Rahasia Vietnam Tak Alami Kasus Kematian Akibat Covid-19","Sumber: 
                    whatsapp.com                                             Tanggal publish: 09/07/2021",https://cekfakta.com/focus/7207
58,[SALAH] Per 1 Juli 2021 Mengurus SIM dan SKCK Membutuhkan Sertifikat Vaksin Covid,"Sumber: 
                     
                        facebook.com
 Tanggal publish: 04/07/2021",https://cekfakta.com/focus/7192
59,[SALAH] CT Value Sebagai Penentu Kesembuhan Pasien Covid-19,"Sumber: 
                    Facebook                                             Tanggal publish: 02/07/2021",https://cekfakta.com/focus/7182
60,[SALAH] Insentif Tenaga Kesehatan Selama Pandemi Covid-19 Dihentikan Pemerintah Pusat,"Sumber: 
                    WhatsApp                                             Tanggal publish: 02/07/2021",https://cekfakta.com/focus/7181
61,[SALAH] Foto Daftar Obat Dari RS Yang Bisa Digunakan Sendiri oleh Pasien Covid-19,"Sumber: 
                    Tangkapan Layar                                             Tanggal publish: 02/07/2021",https://cekfakta.com/focus/7178
62,"Sebuah artikel online membagikan dokumen rahasia yang bocor dan disandingkan dengan sebuah informasi yang mengklaim bahwa Perusahaan Biofarmasi Moderna, Inc mengembangkan Vaksin Covid-19 sebelum munculnya Covid-19.","Sumber: 
                     
                        artikel online
 Tanggal publish: 02/07/2021",https://cekfakta.com/focus/7177
63,[SALAH] WHO Tetapkan Indonesia Sebagai Negara High Risk Covid-19,"Sumber: 
                    WhatsApp                                             Tanggal publish: 29/06/2021",https://cekfakta.com/focus/7163
64,[SALAH] Daftar Obat dari RS yang Bisa Digunakan Sendiri oleh Pasien Covid-19,"Sumber: 
                    WhatsApp                                             Tanggal publish: 29/06/2021",https://cekfakta.com/focus/7162
65,[SALAH] Anies Baswedan Hanya Mengurusi Asbak dan Tidak Mengurusi Covid di Jakarta,"Sumber: 
                     
                        twitter.com
 Tanggal publish: 27/06/2021",https://cekfakta.com/focus/7146
66,[SALAH] Covid-19 Tidak Mematikan,"Sumber: 
                     
                        facebook.com
 Tanggal publish: 26/06/2021",https://cekfakta.com/focus/7144
