judul,tanggal,link
Kekhawatiran Gibran Soal Sertifikat Vaksin Bocor Seperti Dialami Jokowi,"detikNewsSabtu, 04 Sep 2021 19:02 WIB",https://news.detik.com/berita-jawa-tengah/d-5710038/kekhawatiran-gibran-soal-sertifikat-vaksin-bocor-seperti-dialami-jokowi
Evander Holyfield Gantikan Oscar De La Hoya Naik Ring Pekan Depan,"detikSportSabtu, 04 Sep 2021 19:00 WIB",https://sport.detik.com/sport-lain/d-5710025/evander-holyfield-gantikan-oscar-de-la-hoya-naik-ring-pekan-depan
"Ditegur Mendagri, Bupati PPU Jelaskan Pembayaran Insentif Nakes Terlambat","detikNewsSabtu, 04 Sep 2021 18:56 WIB",https://news.detik.com/berita/d-5710030/ditegur-mendagri-bupati-ppu-jelaskan-pembayaran-insentif-nakes-terlambat
Airlangga Minta Penerima Kartu Prakerja di Papua Saling Tekoneksi,"detikNewsSabtu, 04 Sep 2021 18:55 WIB",https://news.detik.com/berita/d-5709987/airlangga-minta-penerima-kartu-prakerja-di-papua-saling-tekoneksi
"Hari Pelanggan Nasional, KAI Daop 1  Bagi Suvenir hingga Minuman Gratis","detikTravelSabtu, 04 Sep 2021 18:52 WIB",https://travel.detik.com/travel-news/d-5710026/hari-pelanggan-nasional-kai-daop-1--bagi-suvenir-hingga-minuman-gratis
Adidaya Dunia Cari Cara Berdiplomasi dengan Taliban,"detikNewsSabtu, 04 Sep 2021 18:19 WIB",https://news.detik.com/dw/d-5709986/adidaya-dunia-cari-cara-berdiplomasi-dengan-taliban
Kapal Pesiar 18+ hingga Wahana yang Bikin Gadis Tersedak dan Tewas,"detikTravelSabtu, 04 Sep 2021 18:17 WIB",https://travel.detik.com/travel-news/d-5709972/kapal-pesiar-18-hingga-wahana-yang-bikin-gadis-tersedak-dan-tewas
"Biden Perintahkan Buka Dokumen Rahasia 9/11, Filipina Cabut Larangan Masuk WNI","detikNewsSabtu, 04 Sep 2021 18:16 WIB",https://news.detik.com/internasional/d-5709971/biden-perintahkan-buka-dokumen-rahasia-911-filipina-cabut-larangan-masuk-wni
"Kasus Corona di DKI 'Tiarap' Sepekan Terakhir, Efek PPKM?","detikHealthSabtu, 04 Sep 2021 18:14 WIB",https://health.detik.com/berita-detikhealth/d-5709969/kasus-corona-di-dki-tiarap-sepekan-terakhir-efek-ppkm
Airlangga Cek Venue Pembukaan PON: Luar Biasa Fasilitasnya,"detikNewsSabtu, 04 Sep 2021 18:13 WIB",https://news.detik.com/berita/d-5709968/airlangga-cek-venue-pembukaan-pon-luar-biasa-fasilitasnya
Warga Malaysia Diimbau Belajar Hidup dengan Virus Corona,"detikNewsSabtu, 04 Sep 2021 17:52 WIB",https://news.detik.com/internasional/d-5709951/warga-malaysia-diimbau-belajar-hidup-dengan-virus-corona
Nekat Divaksin Saat Positif COVID-19 Adakah Bahayanya? Ini Kata Komnas KIPI,"detikHealthSabtu, 04 Sep 2021 17:41 WIB",https://health.detik.com/berita-detikhealth/d-5709938/nekat-divaksin-saat-positif-covid-19-adakah-bahayanya-ini-kata-komnas-kipi
"Jelang PON, Pemerintah Siapkan Kapal Isolasi Terpusat di Jayapura","detikNewsSabtu, 04 Sep 2021 17:39 WIB",https://news.detik.com/berita/d-5709936/jelang-pon-pemerintah-siapkan-kapal-isolasi-terpusat-di-jayapura
"Corona RI 4 September: Tambah 6.727 Kasus, 13.806 Sembuh","detikNewsSabtu, 04 Sep 2021 17:28 WIB",https://news.detik.com/detiktv/d-5709929/corona-ri-4-september-tambah-6727-kasus-13806-sembuh
Amandemen UUD Memerlukan Prasyarat Suasana Kebangsaan yang Kondusif,"detikNewsSabtu, 04 Sep 2021 17:28 WIB",https://news.detik.com/kolom/d-5709928/amandemen-uud-memerlukan-prasyarat-suasana-kebangsaan-yang-kondusif
Ini 20 Maskapai Paling Aman 2021,"detikTravelSabtu, 04 Sep 2021 17:26 WIB",https://travel.detik.com/detiktravel-non-api/d-5709926/ini-20-maskapai-paling-aman-2021
"Golkar Jatim Gelar Vaksinasi di Pasuruan, Wali Kota Beri Apresiasi","detikNewsSabtu, 04 Sep 2021 17:25 WIB",https://news.detik.com/berita/d-5709924/golkar-jatim-gelar-vaksinasi-di-pasuruan-wali-kota-beri-apresiasi
Data 6.727 Kasus Baru COVID-19 4 September: Jatim-Jabar Terbanyak,"detikNewsSabtu, 04 Sep 2021 17:21 WIB",https://news.detik.com/berita/d-5709915/data-6727-kasus-baru-covid-19-4-september-jatim-jabar-terbanyak
"Pulang ke Bali, Ni Nengah Widiasih Disambut Bonus Rp 50 Juta","detikSportSabtu, 04 Sep 2021 17:15 WIB",https://sport.detik.com/sport-lain/d-5709865/pulang-ke-bali-ni-nengah-widiasih-disambut-bonus-rp-50-juta
"60 Lowongan Terbaru dalam Sepekan, Mulai Perusahaan Raffi Ahmad hingga Indofood","detikEduSabtu, 04 Sep 2021 17:00 WIB",https://www.detik.com/edu/edutainment/d-5709775/60-lowongan-terbaru-dalam-sepekan-mulai-perusahaan-raffi-ahmad-hingga-indofood
"Oscar De La Hoya Kena Hantam COVID-19, Batal Comeback Tinju","detikSportSabtu, 04 Sep 2021 16:45 WIB",https://sport.detik.com/sport-lain/d-5709853/oscar-de-la-hoya-kena-hantam-covid-19-batal-comeback-tinju
"Sebaran 6.727 Kasus COVID-19 RI 4 September: Jatim Tertinggi, DKI 360","detikHealthSabtu, 04 Sep 2021 16:43 WIB",https://health.detik.com/berita-detikhealth/d-5709900/sebaran-6727-kasus-covid-19-ri-4-september-jatim-tertinggi-dki-360
Tracing Terus Digencarkan Meski Sidoarjo Sudah Zona Kuning,"detikNewsSabtu, 04 Sep 2021 16:43 WIB",https://news.detik.com/berita-jawa-timur/d-5709873/tracing-terus-digencarkan-meski-sidoarjo-sudah-zona-kuning
"Risma Ngomel Rekening Bansos Diblokir, Erick Thohir Beri Penjelasan","detikFinanceSabtu, 04 Sep 2021 16:43 WIB",https://finance.detik.com/berita-ekonomi-bisnis/d-5709892/risma-ngomel-rekening-bansos-diblokir-erick-thohir-beri-penjelasan
Survei CISA: Mayoritas Publik Tolak Jabatan Presiden 3 Periode,"detikNewsSabtu, 04 Sep 2021 16:41 WIB",https://news.detik.com/berita/d-5709891/survei-cisa-mayoritas-publik-tolak-jabatan-presiden-3-periode
PM Thailand Lolos dari Mosi Tidak Percaya di Parlemen,"detikNewsSabtu, 04 Sep 2021 16:41 WIB",https://news.detik.com/internasional/d-5709890/pm-thailand-lolos-dari-mosi-tidak-percaya-di-parlemen
"Update Corona RI 4 September: Tambah 6.727 Kasus Baru, 539 Meninggal Dunia","detikHealthSabtu, 04 Sep 2021 16:39 WIB",https://health.detik.com/berita-detikhealth/d-5709888/update-corona-ri-4-september-tambah-6727-kasus-baru-539-meninggal-dunia
"Pasien Sembuh Corona RI 4 September Tambah 13.806, Kasus Baru 6.727","detikNewsSabtu, 04 Sep 2021 16:35 WIB",https://news.detik.com/berita/d-5709875/pasien-sembuh-corona-ri-4-september-tambah-13806-kasus-baru-6727
DPD Resmikan Program Pemberdayaan Masyarakat Desa di Lampung,"detikNewsSabtu, 04 Sep 2021 16:26 WIB",https://news.detik.com/berita/d-5709859/dpd-resmikan-program-pemberdayaan-masyarakat-desa-di-lampung
Dokter Bagikan Tips Agar Anak Aman dari COVID-19 Saat Sekolah Tatap Muka,"detikHealthSabtu, 04 Sep 2021 16:16 WIB",https://health.detik.com/berita-detikhealth/d-5709852/dokter-bagikan-tips-agar-anak-aman-dari-covid-19-saat-sekolah-tatap-muka
Ketua DPD: Perlu Strategi dan Pendekatan Baru untuk Kesejahteraan Rakyat,"detikNewsSabtu, 04 Sep 2021 16:09 WIB",https://news.detik.com/berita/d-5709847/ketua-dpd-perlu-strategi-dan-pendekatan-baru-untuk-kesejahteraan-rakyat
"Survei CISA soal Elektabilitas Capres 2024: Ganjar, AHY, Anies Bersaing Ketat","detikNewsSabtu, 04 Sep 2021 15:58 WIB",https://news.detik.com/berita/d-5709829/survei-cisa-soal-elektabilitas-capres-2024-ganjar-ahy-anies-bersaing-ketat
"Temui 4 Pekerja Penerima BSU, Menaker Kayuh Sepeda 2 Km di Semarang","detikNewsSabtu, 04 Sep 2021 15:54 WIB",https://news.detik.com/berita/d-5709825/temui-4-pekerja-penerima-bsu-menaker-kayuh-sepeda-2-km-di-semarang
"Tambah Lagi, Maskapai Boncos dan Siap Bangkrut Gara-gara Pandemi","detikFinanceSabtu, 04 Sep 2021 15:46 WIB",https://finance.detik.com/berita-ekonomi-bisnis/d-5709815/tambah-lagi-maskapai-boncos-dan-siap-bangkrut-gara-gara-pandemi
"Sudirman Said: Corona Masih Ada, Pemerintah Jangan Buru-buru Longgarkan Aturan","detikNewsSabtu, 04 Sep 2021 15:36 WIB",https://news.detik.com/berita/d-5709810/sudirman-said-corona-masih-ada-pemerintah-jangan-buru-buru-longgarkan-aturan
"Butuh Sertifikat, Pasien Isoman di Poso Nekat Divaksin hingga Dilarikan ke IGD","detikHealthSabtu, 04 Sep 2021 15:32 WIB",https://health.detik.com/berita-detikhealth/d-5709804/butuh-sertifikat-pasien-isoman-di-poso-nekat-divaksin-hingga-dilarikan-ke-igd
"Kedai Kopi Sunblast Hadir di Bali, Ajak Terapkan Prokes Ketat di Masa Pandemi","detikNewsSabtu, 04 Sep 2021 15:23 WIB",https://news.detik.com/berita/d-5709801/kedai-kopi-sunblast-hadir-di-bali-ajak-terapkan-prokes-ketat-di-masa-pandemi
"Sedih, Maskapai Ini Akhirnya Bangkrut dan Harus Tutup Bulan Depan","detikFinanceSabtu, 04 Sep 2021 15:15 WIB",https://finance.detik.com/berita-ekonomi-bisnis/d-5709585/sedih-maskapai-ini-akhirnya-bangkrut-dan-harus-tutup-bulan-depan
